source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1550.001,Application Access Token,attack-pattern--f005e783-57d4-4837-88ad-dbe7faee1c51,technique,"Where possible, consider restricting the use of access tokens outside of expected contexts. For example, in AWS environments, consider using data perimeters to prevent credential use outside of an expected network.(Citation: AWS Data Perimeters)",relationship--41f072bf-ec21-4a83-bb25-6c84fce8ca5d,16 October 2024,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1110,Brute Force,attack-pattern--a93494bb-4b80-4ea1-8695-3236a49916fd,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies) Consider blocking risky authentication requests, such as those originating from anonymizing services/proxies.(Citation: Okta Block Anonymizing Services)",relationship--c1a6c86e-5d5d-4cf1-845e-1660d9c19baf,13 June 2019,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1078.004,Cloud Accounts,attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65,technique,Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies),relationship--b93fd13f-b11b-4f4b-9d77-977e7af41d5c,21 February 2023,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1110.004,Credential Stuffing,attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies) Consider blocking risky authentication requests, such as those originating from anonymizing services/proxies.(Citation: Okta Block Anonymizing Services)",relationship--4b7e0525-1ba7-4d55-89d1-07fc94193065,20 February 2020,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1621,Multi-Factor Authentication Request Generation,attack-pattern--954a1639-f2d6-407d-aef3-4917622ca493,technique,"Enable account restrictions to prevent login attempts, and the subsequent 2FA/MFA service requests, from being initiated from suspicious locations or when the source of the login attempts do not match the location of the 2FA/MFA smart device. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies)",relationship--a09cb233-bdff-4d89-bcc3-7fb2108911d0,01 April 2022,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1110.001,Password Guessing,attack-pattern--09c4c11e-4fa1-4f8c-8dad-3cf8e69ad119,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies) Consider blocking risky authentication requests, such as those originating from anonymizing services/proxies.(Citation: Okta Block Anonymizing Services)",relationship--8f2d973c-aa06-42a1-9490-1e799c0a5ee2,20 February 2020,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1110.003,Password Spraying,attack-pattern--692074ae-bb62-4a5e-a735-02cb6bde458c,technique,"Set account lockout policies after a certain number of failed login attempts to prevent passwords from being guessed. Too strict a policy may create a denial of service condition and render environments un-usable, with all accounts used in the brute force being locked-out. Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies) Consider blocking risky authentication requests, such as those originating from anonymizing services/proxies.(Citation: Okta Block Anonymizing Services)",relationship--cff34686-cbdf-4e0b-8108-c2deaf8855a7,20 February 2020,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1648,Serverless Execution,attack-pattern--e848506b-8484-4410-8017-3d235a52f5b3,technique,"Where possible, consider restricting access to and use of serverless functions. For examples, conditional access policies can be applied to users attempting to create workflows in Microsoft Power Automate. Google Apps Scripts that use OAuth can be limited by restricting access to high-risk OAuth scopes.(Citation: Microsoft Developer Support Power Apps Conditional Access)(Citation: Google Workspace Apps Script Restrict OAuth Scopes)",relationship--1790e922-4472-4509-8193-63ba613ce068,01 July 2024,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1550,Use Alternate Authentication Material,attack-pattern--51a14c76-dd3b-440b-9c20-2bf91d25a814,technique,"Where possible, consider restricting the use of authentication material outside of expected contexts.",relationship--71f51186-1805-4108-bde1-5f999de8603d,16 October 2024,16 April 2025
M1036,Account Use Policies,course-of-action--f9f9e6ef-bc0a-41ad-ba11-0924e5e84c4c,mitigation,mitigates,T1078,Valid Accounts,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81,technique,Use conditional access policies to block logins from non-compliant devices or from outside defined organization IP ranges.(Citation: Microsoft Common Conditional Access Policies),relationship--f2d01f19-b4e7-417a-a936-11af9386b867,14 April 2023,16 April 2025
